Fault
FaultName,CTGSkip,CTGSolved,WhoAmI,FaultLocation,FaultType,FaultType:1,FaultImpedance,FaultImpedance:1,FaultLocationActual,ABCPhaseI,ABCPhaseAngle,ABCPhaseI:2,ABCPhaseI:3,ABCPhaseI:4,FaultThevImp,FaultThevImp:1,ABCPhaseI:1,ABCPhaseAngle:1,ABCPhaseI:5,ABCPhaseI:6,ABCPhaseI:7,FaultThevImp:2,FaultThevImp:3
B_000001TIM345,NO,YES,Bus '1',,3PB,None,"0,000","0,000",,"32,46236","-101,46692","  32,462","  32,462","  32,462"," 0,00257"," 0,03139",,,,,,,
B_000003MORO138,NO,YES,Bus '3',,3PB,None,"0,000","0,000",,"20,15044","-102,89542","  20,150","  20,150","  20,150"," 0,00772"," 0,04893",,,,,,,
B_000005HOMER69,NO,YES,Bus '5',,3PB,None,"0,000","0,000",,"11,89208","-95,55011","  11,892","  11,892","  11,892"," 0,02945"," 0,07971",,,,,,,
B_000010RAY69,NO,YES,Bus '10',,3PB,None,"0,000","0,000",,"18,37844","-101,55894","  18,378","  18,378","  18,378"," 0,00978"," 0,05469",,,,,,,
B_000012TIM69,NO,YES,Bus '12',,3PB,None,"0,000","0,000",,"22,93480","-101,41953","  22,935","  22,934","  22,934"," 0,00923"," 0,04358",,,,,,,
B_000013FERNA69,NO,YES,Bus '13',,3PB,None,"0,000","0,000",,"10,49923","-93,66953","  10,499","  10,499","  10,499"," 0,03322"," 0,08962",,,,,,,
B_000014WEBER69,NO,YES,Bus '14',,3PB,None,"0,000","0,000",,"20,48599","-103,76471","  20,486","  20,486","  20,486"," 0,00984"," 0,04825",,,,,,,
B_000015ZEB69,NO,YES,Bus '15',,3PB,None,"0,000","0,000",,"26,21828","-99,70277","  26,218","  26,218","  26,218"," 0,01074"," 0,03618",,,,,,,
B_000016PETE69,NO,YES,Bus '16',,3PB,None,"0,000","0,000",,"19,22144","-99,92500","  19,221","  19,221","  19,221"," 0,01466"," 0,04945",,,,,,,
B_000017PAI69,NO,YES,Bus '17',,3PB,None,"0,000","0,000",,"12,16333","-95,57433","  12,163","  12,163","  12,163"," 0,02632"," 0,07899",,,,,,,
B_000018HANNAH69,NO,YES,Bus '18',,3PB,None,"0,000","0,000",,"11,36288","-96,04506","  11,363","  11,363","  11,363"," 0,03091"," 0,08325",,,,,,,
B_000019GROSS69,NO,YES,Bus '19',,3PB,None,"0,000","0,000",,"11,32267","-93,58849","  11,323","  11,322","  11,322"," 0,03054"," 0,08407",,,,,,,
B_000020SCOT69,NO,YES,Bus '20',,3PB,None,"0,000","0,000",,"10,43662","-95,66769","  10,437","  10,436","  10,436"," 0,03160"," 0,09130",,,,,,,
B_000021WOLEN69,NO,YES,Bus '21',,3PB,None,"0,000","0,000",,"16,15563","-99,80662","  16,156","  16,155","  16,155"," 0,01829"," 0,05832",,,,,,,
B_000024HIMAN69,NO,YES,Bus '24',,3PB,None,"0,000","0,000",,"18,62520","-94,40887","  18,625","  18,625","  18,625"," 0,01984"," 0,04936",,,,,,,
B_000027HISKY69,NO,YES,Bus '27',,3PB,None,"0,000","0,000",,"17,78354","-100,41338","  17,784","  17,783","  17,783"," 0,01515"," 0,05391",,,,,,,
