Fault
FaultName,CTGSkip,CTGSolved,WhoAmI,FaultLocation,FaultType,FaultType:1,FaultImpedance,FaultImpedance:1,FaultLocationActual,ABCPhaseI,ABCPhaseAngle,ABCPhaseI:2,ABCPhaseI:3,ABCPhaseI:4,FaultThevImp,FaultThevImp:1,ABCPhaseI:1,ABCPhaseAngle:1,ABCPhaseI:5,ABCPhaseI:6,ABCPhaseI:7,FaultThevImp:2,FaultThevImp:3
B_000001TIM345,NO,YES,Bus '1',,3PB,None,"0,000","0,000",,"32,50234","-101,41602","  32,502","  32,502","  32,502"," 0,00255"," 0,03136",,,,,,,
B_000003MORO138,NO,YES,Bus '3',,3PB,None,"0,000","0,000",,"20,42649","-102,32958","  20,426","  20,426","  20,426"," 0,00759"," 0,04830",,,,,,,
B_000005HOMER69,NO,YES,Bus '5',,3PB,None,"0,000","0,000",,"11,94905","-94,92735","  11,949","  11,949","  11,949"," 0,02918"," 0,07938",,,,,,,
B_000010RAY69,NO,YES,Bus '10',,3PB,None,"0,000","0,000",,"18,42064","-101,28801","  18,421","  18,420","  18,420"," 0,00975"," 0,05456",,,,,,,
B_000012TIM69,NO,YES,Bus '12',,3PB,None,"0,000","0,000",,"23,06935","-101,04736","  23,069","  23,069","  23,069"," 0,00914"," 0,04334",,,,,,,
B_000013FERNA69,NO,YES,Bus '13',,3PB,None,"0,000","0,000",,"10,51284","-93,34037","  10,513","  10,513","  10,513"," 0,03318"," 0,08950",,,,,,,
B_000014WEBER69,NO,YES,Bus '14',,3PB,None,"0,000","0,000",,"17,94149","-104,24076","  17,941","  17,941","  17,941"," 0,00990"," 0,05568",,,,,,,
B_000015ZEB69,NO,YES,Bus '15',,3PB,None,"0,000","0,000",,"26,30972","-99,29015","  26,310","  26,309","  26,309"," 0,01069"," 0,03606",,,,,,,
B_000016PETE69,NO,YES,Bus '16',,3PB,None,"0,000","0,000",,"19,27965","-99,51669","  19,280","  19,279","  19,279"," 0,01459"," 0,04931",,,,,,,
B_000017PAI69,NO,YES,Bus '17',,3PB,None,"0,000","0,000",,"12,19583","-95,21220","  12,196","  12,196","  12,196"," 0,02624"," 0,07880",,,,,,,
B_000018HANNAH69,NO,YES,Bus '18',,3PB,None,"0,000","0,000",,"11,40618","-95,51630","  11,406","  11,406","  11,406"," 0,03073"," 0,08295",,,,,,,
B_000019GROSS69,NO,YES,Bus '19',,3PB,None,"0,000","0,000",,"11,34625","-93,24290","  11,346","  11,346","  11,346"," 0,03048"," 0,08390",,,,,,,
B_000020SCOT69,NO,YES,Bus '20',,3PB,None,"0,000","0,000",," 5,37954","-92,43685","   5,380","   5,379","   5,379"," 0,06902"," 0,17318",,,,,,,
B_000021WOLEN69,NO,YES,Bus '21',,3PB,None,"0,000","0,000",,"16,17557","-99,41476","  16,176","  16,175","  16,175"," 0,01827"," 0,05825",,,,,,,
B_000024HIMAN69,NO,YES,Bus '24',,3PB,None,"0,000","0,000",,"18,69778","-93,91462","  18,698","  18,697","  18,697"," 0,01972"," 0,04920",,,,,,,
B_000027HISKY69,NO,YES,Bus '27',,3PB,None,"0,000","0,000",,"17,83775","-100,00887","  17,838","  17,837","  17,837"," 0,01508"," 0,05375",,,,,,,
B_000028JO345,NO,YES,Bus '28',,3PB,None,"0,000","0,000",,"63,56514","-100,92291","  63,565","  63,564","  63,564"," 0,00063"," 0,01619",,,,,,,
B_000029JO138,NO,YES,Bus '29',,3PB,None,"0,000","0,000",,"35,47211","-101,58487","  35,472","  35,471","  35,471"," 0,00223"," 0,02877",,,,,,,
B_000030CAROL138,NO,YES,Bus '30',,3PB,None,"0,000","0,000",,"20,86145","-100,75185","  20,861","  20,861","  20,861"," 0,00785"," 0,04758",,,,,,,
B_000031SLACK345,NO,YES,Bus '31',,3PB,None,"0,000","0,000",,"52,76206","-100,71432","  52,762","  52,761","  52,761"," 0,00138"," 0,01947",,,,,,,
B_000032NICOL138,NO,YES,Bus '32',,3PB,None,"0,000","0,000",,"21,49549","-100,35711","  21,495","  21,495","  21,495"," 0,00754"," 0,04632",,,,,,,
B_000033NICOL69,NO,YES,Bus '33',,3PB,None,"0,000","0,000",,"11,42530","-102,62659","  11,425","  11,425","  11,425"," 0,01346"," 0,08765",,,,,,,
B_000034PATTEN69,NO,YES,Bus '34',,3PB,None,"0,000","0,000",," 4,03600","-91,71575","   4,036","   4,036","   4,036"," 0,09708"," 0,22677",,,,,,,
B_000035SLACK138,NO,YES,Bus '35',,3PB,None,"0,000","0,000",,"25,05138","-101,30824","  25,051","  25,051","  25,051"," 0,00375"," 0,04068",,,,,,,
B_000037AMANDA69,NO,YES,Bus '37',,3PB,None,"0,000","0,000",,"10,87192","-93,13185","  10,872","  10,872","  10,872"," 0,03584"," 0,08547",,,,,,,
B_000038RAY345,NO,YES,Bus '38',,3PB,None,"0,000","0,000",,"39,47162","-101,13026","  39,472","  39,471","  39,471"," 0,00223"," 0,02582",,,,,,,
B_000039RAY138,NO,YES,Bus '39',,3PB,None,"0,000","0,000",,"35,00560","-101,51241","  35,006","  35,005","  35,005"," 0,00385"," 0,02860",,,,,,,
B_000040TIM138,NO,YES,Bus '40',,3PB,None,"0,000","0,000",,"27,88038","-101,65934","  27,880","  27,880","  27,880"," 0,00581"," 0,03536",,,,,,,
B_000041LAUF138,NO,YES,Bus '41',,3PB,None,"0,000","0,000",,"27,90983","-102,67526","  27,910","  27,909","  27,909"," 0,00538"," 0,03546",,,,,,,
B_000044LAUF69,NO,YES,Bus '44',,3PB,None,"0,000","0,000",,"29,84681","-102,28829","  29,847","  29,846","  29,846"," 0,00679"," 0,03349",,,,,,,
B_000047BOB138,NO,YES,Bus '47',,3PB,None,"0,000","0,000",,"30,48298","-104,21311","  30,483","  30,482","  30,482"," 0,00516"," 0,03180",,,,,,,
B_000048BOB69,NO,YES,Bus '48',,3PB,None,"0,000","0,000",,"25,33046","-104,13428","  25,330","  25,330","  25,330"," 0,00815"," 0,03863",,,,,,,
B_000050DAVIS69,NO,YES,Bus '50',,3PB,None,"0,000","0,000",," 9,51069","-101,60971","   9,511","   9,510","   9,510"," 0,02042"," 0,10529",,,,,,,
B_000053SANDERS138,NO,YES,Bus '53',,3PB,None,"0,000","0,000",,"30,41079","-104,48215","  30,411","  30,410","  30,410"," 0,00513"," 0,03195",,,,,,,
B_000054SANDERS69,NO,YES,Bus '54',,3PB,None,"0,000","0,000",,"26,65459","-100,58505","  26,655","  26,654","  26,654"," 0,00973"," 0,03590",,,,,,,
B_000055DEMAR69,NO,YES,Bus '55',,3PB,None,"0,000","0,000",,"10,54506","-89,17831","  10,545","  10,545","  10,545"," 0,04141"," 0,08465",,,,,,,
B_000056LYNN138,NO,YES,Bus '56',,3PB,None,"0,000","0,000",,"18,42408","-99,35090","  18,424","  18,424","  18,424"," 0,00689"," 0,05506",,,,,,,
