Fault
FaultName,CTGSkip,CTGSolved,WhoAmI,FaultLocation,FaultType,FaultType:1,FaultImpedance,FaultImpedance:1,FaultLocationActual,ABCPhaseI,ABCPhaseAngle,ABCPhaseI:2,ABCPhaseI:3,ABCPhaseI:4,FaultThevImp,FaultThevImp:1,ABCPhaseI:1,ABCPhaseAngle:1,ABCPhaseI:5,ABCPhaseI:6,ABCPhaseI:7,FaultThevImp:2,FaultThevImp:3
B_000001TIM345,NO,YES,Bus '1',,3PB,None,"0,000","0,000",,"30,45826","-101,29803","  30,458","  30,458","  30,458"," 0,00284"," 0,03345",,,,,,,
B_000003MORO138,NO,YES,Bus '3',,3PB,None,"0,000","0,000",,"19,78391","-102,81414","  19,784","  19,783","  19,783"," 0,00797"," 0,04986",,,,,,,
B_000005HOMER69,NO,YES,Bus '5',,3PB,None,"0,000","0,000",,"11,82004","-95,57088","  11,820","  11,820","  11,820"," 0,02965"," 0,08020",,,,,,,
B_000010RAY69,NO,YES,Bus '10',,3PB,None,"0,000","0,000",,"17,94756","-101,40652","  17,948","  17,947","  17,947"," 0,01018"," 0,05599",,,,,,,
B_000012TIM69,NO,YES,Bus '12',,3PB,None,"0,000","0,000",,"22,35958","-101,26463","  22,360","  22,359","  22,359"," 0,00960"," 0,04469",,,,,,,
B_000013FERNA69,NO,YES,Bus '13',,3PB,None,"0,000","0,000",,"10,38635","-93,69112","  10,386","  10,386","  10,386"," 0,03358"," 0,09062",,,,,,,
B_000014WEBER69,NO,YES,Bus '14',,3PB,None,"0,000","0,000",,"20,47109","-103,82003","  20,471","  20,471","  20,471"," 0,00983"," 0,04829",,,,,,,
B_000015ZEB69,NO,YES,Bus '15',,3PB,None,"0,000","0,000",,"25,84380","-99,67648","  25,844","  25,843","  25,843"," 0,01093"," 0,03670",,,,,,,
B_000016PETE69,NO,YES,Bus '16',,3PB,None,"0,000","0,000",,"18,98073","-99,87691","  18,981","  18,980","  18,980"," 0,01490"," 0,05007",,,,,,,
B_000017PAI69,NO,YES,Bus '17',,3PB,None,"0,000","0,000",,"11,99186","-95,56652","  11,992","  11,992","  11,992"," 0,02674"," 0,08013",,,,,,,
B_000018HANNAH69,NO,YES,Bus '18',,3PB,None,"0,000","0,000",,"11,26181","-96,03294","  11,262","  11,262","  11,262"," 0,03125"," 0,08399",,,,,,,
B_000019GROSS69,NO,YES,Bus '19',,3PB,None,"0,000","0,000",,"11,16945","-93,60384","  11,169","  11,169","  11,169"," 0,03097"," 0,08525",,,,,,,
B_000020SCOT69,NO,YES,Bus '20',,3PB,None,"0,000","0,000",,"10,44144","-95,69949","  10,441","  10,441","  10,441"," 0,03159"," 0,09126",,,,,,,
B_000021WOLEN69,NO,YES,Bus '21',,3PB,None,"0,000","0,000",,"16,04756","-99,82227","  16,048","  16,047","  16,047"," 0,01841"," 0,05871",,,,,,,
B_000024HIMAN69,NO,YES,Bus '24',,3PB,None,"0,000","0,000",,"18,45387","-94,46013","  18,454","  18,453","  18,453"," 0,02000"," 0,04983",,,,,,,
B_000027HISKY69,NO,YES,Bus '27',,3PB,None,"0,000","0,000",,"17,55877","-100,35316","  17,559","  17,558","  17,558"," 0,01542"," 0,05458",,,,,,,
B_000028JO345,NO,YES,Bus '28',,3PB,None,"0,000","0,000",,"43,03913","-101,89661","  43,039","  43,038","  43,038"," 0,00137"," 0,02389",,,,,,,
B_000029JO138,NO,YES,Bus '29',,3PB,None,"0,000","0,000",,"30,38628","-102,35405","  30,386","  30,386","  30,386"," 0,00306"," 0,03354",,,,,,,
B_000030CAROL138,NO,YES,Bus '30',,3PB,None,"0,000","0,000",,"20,05944","-101,71864","  20,059","  20,059","  20,059"," 0,00832"," 0,04947",,,,,,,
B_000031SLACK345,NO,YES,Bus '31',,3PB,None,"0,000","0,000",,"47,25485","-100,44652","  47,255","  47,254","  47,254"," 0,00165"," 0,02173",,,,,,,
B_000032NICOL138,NO,YES,Bus '32',,3PB,None,"0,000","0,000",,"20,66927","-101,28724","  20,669","  20,669","  20,669"," 0,00806"," 0,04815",,,,,,,
B_000033NICOL69,NO,YES,Bus '33',,3PB,None,"0,000","0,000",,"12,04787","-101,67410","  12,048","  12,048","  12,048"," 0,01558"," 0,08258",,,,,,,
B_000034PATTEN69,NO,YES,Bus '34',,3PB,None,"0,000","0,000",,"11,80337","-97,02534","  11,803","  11,803","  11,803"," 0,02687"," 0,08078",,,,,,,
B_000035SLACK138,NO,YES,Bus '35',,3PB,None,"0,000","0,000",,"23,65992","-101,47990","  23,660","  23,659","  23,659"," 0,00412"," 0,04308",,,,,,,
B_000037AMANDA69,NO,YES,Bus '37',,3PB,None,"0,000","0,000",,"10,74049","-93,68124","  10,740","  10,740","  10,740"," 0,03636"," 0,08650",,,,,,,
B_000038RAY345,NO,YES,Bus '38',,3PB,None,"0,000","0,000",,"36,56609","-100,99361","  36,566","  36,565","  36,565"," 0,00251"," 0,02786",,,,,,,
B_000039RAY138,NO,YES,Bus '39',,3PB,None,"0,000","0,000",,"33,17841","-101,54214","  33,178","  33,178","  33,178"," 0,00418"," 0,03016",,,,,,,
B_000040TIM138,NO,YES,Bus '40',,3PB,None,"0,000","0,000",,"26,73700","-101,85116","  26,737","  26,736","  26,736"," 0,00620"," 0,03685",,,,,,,
B_000041LAUF138,NO,YES,Bus '41',,3PB,None,"0,000","0,000",,"26,64750","-103,52538","  26,647","  26,647","  26,647"," 0,00572"," 0,03714",,,,,,,
B_000044LAUF69,NO,YES,Bus '44',,3PB,None,"0,000","0,000",,"29,27702","-102,68654","  29,277","  29,276","  29,276"," 0,00723"," 0,03408",,,,,,,
B_000047BOB138,NO,YES,Bus '47',,3PB,None,"0,000","0,000",,"29,90689","-104,49953","  29,907","  29,906","  29,906"," 0,00530"," 0,03241",,,,,,,
B_000048BOB69,NO,YES,Bus '48',,3PB,None,"0,000","0,000",,"25,01466","-104,49374","  25,015","  25,014","  25,014"," 0,00829"," 0,03911",,,,,,,
B_000050DAVIS69,NO,YES,Bus '50',,3PB,None,"0,000","0,000",,"12,75568","-100,76912","  12,756","  12,755","  12,755"," 0,01734"," 0,07806",,,,,,,
B_000053SANDERS138,NO,YES,Bus '53',,3PB,None,"0,000","0,000",,"29,89912","-104,79391","  29,899","  29,898","  29,898"," 0,00526"," 0,03249",,,,,,,
B_000054SANDERS69,NO,YES,Bus '54',,3PB,None,"0,000","0,000",,"26,18428","-100,96466","  26,184","  26,184","  26,184"," 0,00995"," 0,03654",,,,,,,
B_000055DEMAR69,NO,YES,Bus '55',,3PB,None,"0,000","0,000",,"10,44799","-89,59430","  10,448","  10,448","  10,448"," 0,04177"," 0,08549",,,,,,,
B_000056LYNN138,NO,YES,Bus '56',,3PB,None,"0,000","0,000",,"17,25926","-100,22923","  17,259","  17,259","  17,259"," 0,00755"," 0,05875",,,,,,,
