Fault
FaultName,CTGSkip,CTGSolved,WhoAmI,FaultLocation,FaultType,FaultType:1,FaultImpedance,FaultImpedance:1,FaultLocationActual,ABCPhaseI,ABCPhaseAngle,ABCPhaseI:2,ABCPhaseI:3,ABCPhaseI:4,FaultThevImp,FaultThevImp:1,ABCPhaseI:1,ABCPhaseAngle:1,ABCPhaseI:5,ABCPhaseI:6,ABCPhaseI:7,FaultThevImp:2,FaultThevImp:3
B_000001TIM345,NO,YES,Bus '1',,3PB,None,"0,000","0,000",,"32,13581","-101,41193","  32,136","  32,135","  32,135"," 0,00260"," 0,03171",,,,,,,
B_000003MORO138,NO,YES,Bus '3',,3PB,None,"0,000","0,000",,"19,81725","-102,41772","  19,817","  19,817","  19,817"," 0,00790"," 0,04977",,,,,,,
B_000005HOMER69,NO,YES,Bus '5',,3PB,None,"0,000","0,000",,"11,48918","-95,40355","  11,489","  11,489","  11,489"," 0,03010"," 0,08265",,,,,,,
B_000010RAY69,NO,YES,Bus '10',,3PB,None,"0,000","0,000",,"18,24902","-101,42202","  18,249","  18,249","  18,249"," 0,00980"," 0,05509",,,,,,,
B_000012TIM69,NO,YES,Bus '12',,3PB,None,"0,000","0,000",,"22,53744","-101,20243","  22,537","  22,537","  22,537"," 0,00934"," 0,04437",,,,,,,
B_000013FERNA69,NO,YES,Bus '13',,3PB,None,"0,000","0,000",,"10,45249","-93,52734","  10,452","  10,452","  10,452"," 0,03325"," 0,09007",,,,,,,
B_000014WEBER69,NO,YES,Bus '14',,3PB,None,"0,000","0,000",,"10,27096","-92,49769","  10,271","  10,271","  10,271"," 0,03742"," 0,09018",,,,,,,
B_000015ZEB69,NO,YES,Bus '15',,3PB,None,"0,000","0,000",,"25,79904","-99,59846","  25,799","  25,798","  25,798"," 0,01081"," 0,03680",,,,,,,
B_000016PETE69,NO,YES,Bus '16',,3PB,None,"0,000","0,000",,"18,98405","-99,74902","  18,984","  18,984","  18,984"," 0,01475"," 0,05010",,,,,,,
B_000017PAI69,NO,YES,Bus '17',,3PB,None,"0,000","0,000",,"12,07386","-95,38406","  12,074","  12,074","  12,074"," 0,02643"," 0,07962",,,,,,,
B_000018HANNAH69,NO,YES,Bus '18',,3PB,None,"0,000","0,000",,"11,14273","-95,83749","  11,143","  11,142","  11,142"," 0,03131"," 0,08497",,,,,,,
B_000019GROSS69,NO,YES,Bus '19',,3PB,None,"0,000","0,000",,"11,25504","-93,43140","  11,255","  11,255","  11,255"," 0,03061"," 0,08463",,,,,,,
B_000020SCOT69,NO,YES,Bus '20',,3PB,None,"0,000","0,000",," 8,76445","-93,14549","   8,764","   8,764","   8,764"," 0,04138"," 0,10703",,,,,,,
B_000021WOLEN69,NO,YES,Bus '21',,3PB,None,"0,000","0,000",,"16,07507","-99,64724","  16,075","  16,075","  16,075"," 0,01829"," 0,05864",,,,,,,
B_000024HIMAN69,NO,YES,Bus '24',,3PB,None,"0,000","0,000",,"18,20763","-94,25683","  18,208","  18,207","  18,207"," 0,02014"," 0,05056",,,,,,,
B_000027HISKY69,NO,YES,Bus '27',,3PB,None,"0,000","0,000",,"17,57478","-100,21801","  17,575","  17,574","  17,574"," 0,01525"," 0,05457",,,,,,,
B_000028JO345,NO,YES,Bus '28',,3PB,None,"0,000","0,000",,"62,87825","-100,96098","  62,878","  62,877","  62,877"," 0,00064"," 0,01637",,,,,,,
B_000029JO138,NO,YES,Bus '29',,3PB,None,"0,000","0,000",,"34,73899","-101,66203","  34,739","  34,738","  34,738"," 0,00229"," 0,02938",,,,,,,
B_000030CAROL138,NO,YES,Bus '30',,3PB,None,"0,000","0,000",,"20,12823","-100,75795","  20,128","  20,128","  20,128"," 0,00829"," 0,04927",,,,,,,
B_000031SLACK345,NO,YES,Bus '31',,3PB,None,"0,000","0,000",,"52,09654","-100,70592","  52,097","  52,095","  52,095"," 0,00140"," 0,01972",,,,,,,
B_000032NICOL138,NO,YES,Bus '32',,3PB,None,"0,000","0,000",,"20,90665","-100,30047","  20,907","  20,906","  20,906"," 0,00793"," 0,04759",,,,,,,
B_000033NICOL69,NO,YES,Bus '33',,3PB,None,"0,000","0,000",,"11,76597","-101,13944","  11,766","  11,766","  11,766"," 0,01545"," 0,08469",,,,,,,
B_000034PATTEN69,NO,YES,Bus '34',,3PB,None,"0,000","0,000",," 8,63603","-92,54347","   8,636","   8,636","   8,636"," 0,04428"," 0,10705",,,,,,,
B_000035SLACK138,NO,YES,Bus '35',,3PB,None,"0,000","0,000",,"24,82878","-101,36431","  24,829","  24,828","  24,828"," 0,00377"," 0,04105",,,,,,,
B_000037AMANDA69,NO,YES,Bus '37',,3PB,None,"0,000","0,000",,"10,63354","-93,50010","  10,634","  10,633","  10,633"," 0,03643"," 0,08748",,,,,,,
B_000038RAY345,NO,YES,Bus '38',,3PB,None,"0,000","0,000",,"39,02332","-101,14807","  39,023","  39,022","  39,022"," 0,00226"," 0,02612",,,,,,,
B_000039RAY138,NO,YES,Bus '39',,3PB,None,"0,000","0,000",,"34,50167","-101,61832","  34,502","  34,501","  34,501"," 0,00389"," 0,02902",,,,,,,
B_000040TIM138,NO,YES,Bus '40',,3PB,None,"0,000","0,000",,"27,19172","-101,76411","  27,192","  27,191","  27,191"," 0,00597"," 0,03625",,,,,,,
B_000041LAUF138,NO,YES,Bus '41',,3PB,None,"0,000","0,000",,"25,93768","-102,57851","  25,938","  25,937","  25,937"," 0,00601"," 0,03811",,,,,,,
B_000044LAUF69,NO,YES,Bus '44',,3PB,None,"0,000","0,000",,"25,90873","-102,25324","  25,909","  25,908","  25,908"," 0,00811"," 0,03853",,,,,,,
B_000047BOB138,NO,YES,Bus '47',,3PB,None,"0,000","0,000",,"30,14297","-104,39227","  30,143","  30,142","  30,142"," 0,00518"," 0,03216",,,,,,,
B_000048BOB69,NO,YES,Bus '48',,3PB,None,"0,000","0,000",,"25,07789","-104,38226","  25,078","  25,077","  25,077"," 0,00816"," 0,03903",,,,,,,
B_000050DAVIS69,NO,YES,Bus '50',,3PB,None,"0,000","0,000",,"11,77933","-99,96439","  11,779","  11,779","  11,779"," 0,01903"," 0,08447",,,,,,,
B_000053SANDERS138,NO,YES,Bus '53',,3PB,None,"0,000","0,000",,"30,08174","-104,66089","  30,082","  30,081","  30,081"," 0,00516"," 0,03231",,,,,,,
B_000054SANDERS69,NO,YES,Bus '54',,3PB,None,"0,000","0,000",,"26,16182","-100,92561","  26,162","  26,161","  26,161"," 0,00980"," 0,03661",,,,,,,
B_000055DEMAR69,NO,YES,Bus '55',,3PB,None,"0,000","0,000",,"10,48121","-89,44016","  10,481","  10,481","  10,481"," 0,04147"," 0,08528",,,,,,,
B_000056LYNN138,NO,YES,Bus '56',,3PB,None,"0,000","0,000",,"18,25697","-99,44411","  18,257","  18,257","  18,257"," 0,00694"," 0,05556",,,,,,,
